row_type,comparison_set,scope_type,scope_value,method_id,total_row_count,applicable_count,valid_count,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_separation_error_deg,p90_separation_error_deg,median_separation_vector_error_deg,p90_separation_vector_error_deg,median_runtime_sec,p90_runtime_sec,comparison_id,paired_count,wins,ties,losses
METHOD,NATURAL,SNR_DB,+0,BEAMSPACE_MUSIC_K2,24,16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45309624375,0.6734692125,,0,0,0,0
METHOD,NATURAL,SNR_DB,+6,BEAMSPACE_MUSIC_K2,24,16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45414199375,0.6737285125,,0,0,0,0
METHOD,NATURAL,L,1,BEAMSPACE_MUSIC_K2,24,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0,0,0,0
METHOD,NATURAL,L,4,BEAMSPACE_MUSIC_K2,24,24,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45402854375,0.6744092125,,0,0,0,0
METHOD,NATURAL,L,8,BEAMSPACE_MUSIC_K2,24,24,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45414199375,0.6736481025,,0,0,0,0
METHOD,NATURAL,NOISE,WHITE,BEAMSPACE_MUSIC_K2,36,24,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.227881375,0.233070915,,0,0,0,0
METHOD,NATURAL,NOISE,STAGE5_TOEPLITZ_CORRELATED,BEAMSPACE_MUSIC_K2,36,24,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6732199125,0.6751125825,,0,0,0,0
METHOD,NATURAL,PROFILE,P1,ELEMENT_MUSIC_K2,18,12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.25232569375,7.0090343025,,0,0,0,0
METHOD,NATURAL,PROFILE,P2,ELEMENT_MUSIC_K2,18,12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3674374625,6.52831998875,,0,0,0,0
METHOD,NATURAL,PROFILE,P3,ELEMENT_MUSIC_K2,18,12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3685623125,6.59443069875,,0,0,0,0
METHOD,NATURAL,PROFILE,P4,ELEMENT_MUSIC_K2,18,12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3367852125,6.6476297125,,0,0,0,0
METHOD,NATURAL,SNR_DB,-6,ELEMENT_MUSIC_K2,24,16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3433138125,6.6382356625,,0,0,0,0
METHOD,NATURAL,SNR_DB,+0,ELEMENT_MUSIC_K2,24,16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3948858125,6.6871379625,,0,0,0,0
METHOD,NATURAL,SNR_DB,+6,ELEMENT_MUSIC_K2,24,16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3141535625,6.49842564375,,0,0,0,0
METHOD,NATURAL,L,1,ELEMENT_MUSIC_K2,24,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0,0,0,0
METHOD,NATURAL,L,4,ELEMENT_MUSIC_K2,24,24,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3364232125,6.5775581825,,0,0,0,0
METHOD,NATURAL,L,8,ELEMENT_MUSIC_K2,24,24,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3375831625,6.7158827025,,0,0,0,0
METHOD,NATURAL,NOISE,WHITE,ELEMENT_MUSIC_K2,36,24,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.087488325,6.500694425,,0,0,0,0
METHOD,NATURAL,NOISE,STAGE5_TOEPLITZ_CORRELATED,ELEMENT_MUSIC_K2,36,24,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.4082988625,6.7158827025,,0,0,0,0
